timestamp,latitude,longitude,speed_kmh,course_deg
1788638649000,28.43273800,77.01496900,30.00,90.0
1788638650000,28.43273800,77.01505422,30.89,90.0
1788638651000,28.43273800,77.01513945,31.69,90.0
1788638652000,28.43273800,77.01522467,32.35,90.0
1788638653000,28.43273800,77.01530989,32.80,90.0
1788638654000,28.43273800,77.01539512,32.99,90.0
1788638655000,28.43273800,77.01548034,32.92,90.0
1788638656000,28.43273800,77.01556556,32.59,90.0
1788638657000,28.43273800,77.01565079,32.03,90.0
1788638658000,28.43273800,77.01573601,31.28,90.0
1788638659000,28.43273800,77.01582123,30.42,90.0
1788638660000,28.43273800,77.01590646,29.53,90.0
1788638661000,28.43273800,77.01599168,28.67,90.0
1788638662000,28.43273800,77.01607690,27.94,90.0
1788638663000,28.43273799,77.01616213,27.39,90.0
1788638664000,28.43273799,77.01624735,27.07,90.0
1788638665000,28.43273799,77.01633257,27.01,90.0
1788638666000,28.43273799,77.01641780,27.22,90.0
1788638667000,28.43273799,77.01650302,27.68,90.0
1788638668000,28.43273799,77.01658824,28.35,90.0
1788638669000,28.43273799,77.01667347,29.16,90.0
1788638670000,28.43273799,77.01675869,30.05,90.0
1788638671000,28.43273799,77.01684391,30.93,90.0
1788638672000,28.43273799,77.01692914,31.74,90.0
1788638673000,28.43273798,77.01701436,32.38,90.0
1788638674000,28.43273798,77.01709958,32.81,90.0
1788638675000,28.43273798,77.01718481,33.00,90.0
1788638676000,28.43273798,77.01727003,32.91,90.0
1788638677000,28.43273798,77.01735526,32.56,90.0
1788638678000,28.43273798,77.01744048,31.99,90.0
1788638679000,28.43273798,77.01752570,31.24,90.0
1788638680000,28.43273797,77.01761093,30.37,90.0
1788638681000,28.43273797,77.01769615,29.48,90.0
1788638682000,28.43273797,77.01778137,28.63,90.0
1788638683000,28.43273797,77.01786660,27.90,90.0
1788638684000,28.43273797,77.01795182,27.36,90.0
1788638685000,28.43273797,77.01803704,27.06,90.0
1788638686000,28.43273796,77.01812227,27.02,90.0
1788638687000,28.43273796,77.01820749,27.24,90.0
1788638688000,28.43273796,77.01829271,27.71,90.0
1788638689000,28.43273796,77.01837794,28.39,90.0
1788638690000,28.43273796,77.01846316,29.21,90.0
1788638691000,28.43273795,77.01854838,30.10,90.0
1788638692000,28.43273795,77.01863361,30.98,90.0
1788638693000,28.43273795,77.01871883,31.78,90.0
1788638694000,28.43273795,77.01880405,32.41,90.0
1788638695000,28.43273794,77.01888928,32.83,90.0
1788638696000,28.43273794,77.01897450,33.00,90.0
1788638697000,28.43273794,77.01905972,32.90,90.0
1788638698000,28.43273794,77.01914495,32.54,90.0
1788638699000,28.43273793,77.01923017,31.95,90.0
1788638700000,28.43273793,77.01931539,31.19,90.0
1788638701000,28.43273793,77.01940062,30.32,90.0
1788638702000,28.43273793,77.01948584,29.43,90.0
1788638703000,28.43273792,77.01957106,28.58,90.0
1788638704000,28.43273792,77.01965629,27.86,90.0
1788638705000,28.43273792,77.01974151,27.34,90.0
1788638706000,28.43273791,77.01982673,27.05,90.0
1788638707000,28.43273791,77.01991196,27.02,90.0
1788638708000,28.43273791,77.01999718,27.26,90.0
1788638709000,28.43273790,77.02008240,27.75,90.0
1788638710000,28.43273790,77.02016763,28.43,90.0
1788638711000,28.43273790,77.02025285,29.26,90.0
1788638712000,28.43273789,77.02033807,30.15,90.0
1788638713000,28.43273789,77.02042330,31.03,90.0
1788638714000,28.43273789,77.02050852,31.82,90.0
1788638715000,28.43273788,77.02059374,32.44,90.0
1788638716000,28.43273788,77.02067897,32.85,90.0
1788638717000,28.43273788,77.02076419,33.00,90.0
1788638718000,28.43273787,77.02084941,32.88,90.0
1788638719000,28.43273787,77.02093464,32.51,90.0
1788638720000,28.43273787,77.02101986,31.91,90.0
1788638721000,28.43273786,77.02110508,31.14,90.0
